PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
55,0,3,male,25.5,0,0,2.82,S
56,0,3,male,51.5,0,1,5.51,S
57,1,1,female,35.9,1,1,34.35,S
58,1,1,female,,0,1,322.63,Q
59,1,1,male,38.3,0,0,163.1,C
60,0,2,male,45.4,2,0,24.16,S
61,0,2,female,31.5,3,0,25.97,Q
62,0,2,male,10.8,1,0,16.51,S
63,1,3,female,34.6,1,1,38.21,S
64,1,2,male,,1,2,13.71,S
65,0,2,male,21.6,1,1,9.58,S
66,1,3,male,,0,1,2.31,S
67,0,1,male,,1,1,129.59,Q
68,0,3,male,29.3,1,0,17.24,C
69,0,1,female,33.3,0,1,40.75,S
70,0,3,male,,1,0,0.33,S
71,0,3,male,,1,0,23.74,C
72,0,1,male,65.4,0,1,0.96,Q
73,0,1,male,,0,0,102.18,C
74,1,3,male,,0,0,45.7,S
75,0,3,male,,0,0,7.48,C
76,1,3,female,34.3,0,0,3.48,S
77,0,3,male,47.1,0,0,15.86,S
78,1,1,male,38.4,0,0,142.71,S
79,0,2,male,,2,0,15.81,S
80,1,1,female,11.9,1,0,286.63,S
81,0,3,female,26.1,1,1,0.69,S
82,0,3,female,17.1,1,0,9.14,S
83,0,2,male,20.9,1,0,25.35,C
84,0,1,male,37.2,1,0,166.75,S
85,0,2,male,52.4,0,1,3.95,S
86,1,2,male,34.5,1,0,32.19,S
87,0,3,male,12.3,0,0,10.46,Q
88,0,3,male,35.2,1,1,6.57,S
89,0,3,male,45.8,1,0,1.84,S
90,0,3,male,20.5,0,0,26.06,S
91,1,1,female,,0,1,14.37,C
92,0,3,male,29.2,0,0,4.82,Q
93,0,3,male,18.0,0,1,4.45,S
94,0,3,female,38.1,0,0,26.67,S
95,0,3,male,27.3,0,2,14.52,C
96,0,3,female,34.9,2,0,20.71,S
97,0,3,male,16.6,0,0,3.75,S
98,0,2,male,22.9,0,2,19.61,S
99,0,1,female,39.1,0,1,71.24,S
100,1,1,female,23.8,1,0,150.25,S
101,1,1,female,53.2,0,0,198.69,S
102,0,3,male,23.4,0,0,0.16,S
103,0,2,male,,0,1,22.42,Q
104,0,3,male,,2,1,0.69,S
105,0,3,male,9.1,0,0,10.35,C
106,0,2,female,,2,1,6.78,S
107,0,2,male,7.6,0,0,7.33,S
108,1,3,female,46.7,0,0,5.66,S
109,0,1,male,21.3,0,1,81.56,Q
110,0,1,male,,0,0,34.15,C
111,0,2,male,21.1,0,0,26.39,S
112,1,1,female,31.6,0,0,43.55,C
113,0,3,female,50.6,0,1,0.92,S
114,0,3,female,,1,0,19.91,Q
115,0,3,female,57.9,0,0,4.37,S
116,0,3,female,45.9,0,0,7.37,Q
117,0,3,female,,0,1,15.04,S
118,1,1,male,,1,1,33.95,S
119,0,3,male,39.9,0,0,0.76,S
120,0,3,male,21.3,1,1,6.09,S
121,0,3,female,17.5,1,2,37.58,S
122,1,3,female,29.0,0,0,13.34,S
123,0,2,male,26.6,0,1,22.26,S
124,1,1,female,,0,0,84.04,S
125,1,1,female,38.7,2,0,18.64,S
126,0,2,male,,0,0,10.84,S
127,0,3,male,,2,1,18.07,Q
128,0,3,female,49.7,0,0,1.39,S
129,1,1,male,13.0,0,0,27.34,S
130,0,3,female,,1,0,4.2,S
131,0,2,male,19.0,0,0,11.31,S
132,0,1,female,2.9,1,1,330.17,S
133,1,1,female,27.8,0,2,5.87,S
134,0,2,female,27.3,0,0,14.63,S
135,0,3,male,50.2,0,0,2.57,Q
136,1,2,female,37.8,0,0,70.59,S
137,0,3,female,14.7,0,2,1.56,S
138,0,3,male,55.0,0,0,6.72,S
139,1,2,female,46.1,0,2,26.78,S
140,0,3,male,37.1,2,0,15.85,C
141,1,3,male,25.8,0,0,7.14,S
142,0,2,male,15.6,0,1,8.51,S
143,0,3,male,23.8,0,0,6.59,S
144,0,2,male,44.2,0,0,6.14,S
145,1,2,female,,1,0,4.6,S
146,1,1,male,50.6,0,0,55.42,C
147,0,3,female,22.2,0,1,4.07,C
148,0,3,male,13.3,1,0,4.41,Q
149,1,1,male,31.0,1,0,89.82,C
150,1,2,male,,2,0,69.18,S
151,0,3,female,,0,0,12.03,S
152,0,1,male,,0,0,6.73,C
153,0,1,male,,0,0,6.6,
154,1,3,female,6.7,1,0,39.32,C
155,0,3,male,36.2,1,0,4.59,S
156,0,2,male,21.5,0,0,1.93,S
157,0,3,male,12.6,0,2,11.88,C
158,1,3,female,0.5,1,0,12.7,C
159,0,1,male,28.6,1,1,87.83,Q
160,0,3,female,53.8,0,2,4.05,S
161,0,2,male,52.3,1,0,0.3,S
162,1,3,female,22.6,3,1,43.59,S
163,0,3,female,,0,0,3.76,C
164,0,3,female,35.6,1,0,14.65,S
165,0,1,male,15.0,0,0,103.01,S
166,1,3,female,33.2,1,1,12.24,Q
167,0,2,male,39.7,0,1,7.51,S
168,1,1,male,,0,0,26.56,C
169,0,1,male,,0,0,76.48,S
170,1,3,female,26.1,1,0,26.14,C
171,0,3,female,16.7,2,0,38.12,S
172,1,1,female,17.4,0,2,9.4,C
173,0,3,male,25.8,1,0,2.19,Q
174,0,1,male,34.1,1,0,243.23,S
175,0,3,female,41.8,2,0,17.34,S
176,1,1,male,17.8,0,1,180.22,S
177,0,3,male,49.9,1,1,2.94,S
178,0,2,male,25.2,1,0,17.71,C
179,0,3,male,28.7,0,1,15.7,S
180,1,1,male,18.5,2,0,95.74,S
181,0,2,male,0.5,0,0,10.49,S
182,1,1,male,41.4,1,0,1.3,C
183,0,3,male,,0,1,11.37,Q
184,1,3,female,25.1,1,1,3.79,
185,0,2,male,29.9,0,0,11.97,S
186,0,3,male,36.2,0,1,41.08,S
187,1,3,female,7.1,1,0,6.62,S
188,0,3,male,,1,0,23.81,S
189,1,3,female,40.1,1,0,2.72,S
190,1,2,female,11.4,0,0,22.32,S
191,1,1,male,33.1,0,0,316.9,S
192,0,3,male,10.0,0,0,1.4,S
193,0,3,female,35.5,0,0,0.11,S
194,1,3,female,28.5,1,1,7.39,S
195,0,2,male,6.4,1,1,1.94,C
196,0,2,male,45.3,0,0,27.6,S
197,0,3,male,18.7,1,1,31.98,S
198,0,3,female,17.7,0,1,7.4,S
199,0,3,male,31.8,0,0,3.89,C
200,0,3,female,45.1,0,0,7.41,Q
201,0,3,male,14.8,0,0,16.71,S
202,0,1,male,29.9,0,1,0.76,S
203,0,1,male,,1,2,74.78,S
204,0,3,male,,0,0,12.35,S
205,0,3,male,31.5,0,2,13.2,S
206,0,1,male,23.9,0,0,23.28,S
207,0,1,male,17.4,2,0,105.16,S
208,1,3,female,30.2,1,1,1.25,S
209,1,1,male,,0,1,18.67,S
210,0,1,male,0.5,0,0,176.35,S
211,1,3,female,35.1,0,0,17.45,S
212,0,3,female,41.7,0,0,0.18,S
213,1,3,female,0.5,0,0,3.71,S
214,1,1,female,14.9,0,0,20.27,C
215,0,3,male,37.7,1,0,4.11,S
216,0,1,male,57.8,0,0,23.89,S
217,0,2,female,29.3,1,0,1.29,Q
218,0,3,female,18.8,0,1,7.98,S
219,0,3,male,,2,0,17.15,S
220,0,3,female,48.2,1,0,12.13,S
221,1,3,male,20.0,1,1,14.53,C
222,0,3,male,17.8,0,1,1.1,Q
223,0,1,male,22.2,0,0,254.18,C
224,0,2,male,,0,0,36.46,S
225,0,2,male,30.7,1,1,32.7,S
226,0,2,male,51.7,0,0,34.63,S
227,1,3,female,33.5,0,1,35.08,S
228,0,2,male,25.5,1,1,15.72,S
229,0,3,male,,1,1,2.91,S
230,1,3,female,7.1,0,0,12.47,C
231,1,3,female,41.4,0,0,17.66,S
232,0,3,female,27.9,0,1,17.41,S
233,0,3,female,26.5,2,0,9.58,S
234,0,3,female,73.7,0,0,0.92,C
235,0,1,male,33.2,0,0,38.96,C
236,0,3,male,18.5,1,0,32.96,S
237,0,2,male,,0,0,17.56,S
238,0,1,male,45.1,0,0,64.92,S
239,0,3,male,30.6,1,0,4.07,Q
240,1,1,female,8.9,0,0,38.6,S
241,0,3,male,41.9,0,0,29.34,S
242,0,3,male,19.6,0,1,14.27,S
243,0,3,male,55.2,2,0,20.13,S
244,0,2,female,44.1,0,0,12.12,C
245,1,1,male,22.7,0,3,83.57,S
246,1,3,female,46.9,0,0,3.71,S
247,0,2,male,29.9,0,0,24.45,S
248,0,3,male,,1,0,7.25,S
249,0,3,male,35.8,0,0,7.6,Q
250,0,3,female,,0,1,13.62,S
251,0,2,male,20.0,0,1,55.07,C
252,1,2,female,43.4,0,1,1.32,C
253,0,3,male,24.3,0,0,22.64,S
254,0,2,male,23.3,1,1,6.92,S
255,0,1,female,15.6,0,0,49.29,S
256,0,3,female,34.9,2,0,0.29,C
257,0,3,female,57.9,1,1,4.66,S
258,0,3,female,14.1,0,0,9.08,S
259,0,3,female,29.3,0,1,0.75,S
260,0,1,female,48.8,1,0,56.74,C
261,0,3,female,,0,1,34.04,S
262,1,3,female,35.3,0,1,1.45,S
263,1,1,female,,1,0,121.45,S
264,0,3,male,35.0,0,0,6.85,S
265,0,3,female,26.4,1,1,13.84,C
266,0,3,male,42.8,2,1,3.92,S
267,1,3,female,,1,0,2.26,C
268,0,3,female,65.3,0,0,2.27,S
269,1,2,male,,0,0,1.46,S
270,1,2,female,33.6,0,0,4.11,S
271,0,3,male,31.7,0,1,14.19,S
272,0,3,male,24.1,1,0,27.75,S
273,0,3,female,33.7,0,0,21.87,S
274,0,3,male,,0,0,15.02,S
275,0,3,female,,1,0,1.52,S
276,0,3,female,,0,0,4.44,S
277,0,3,male,14.9,0,0,4.82,C
278,0,3,male,45.0,0,0,3.74,S
279,0,3,male,47.4,0,0,9.41,S
280,0,3,male,27.3,0,0,9.97,S
281,1,3,female,0.5,0,0,5.74,C
282,0,2,male,20.5,0,0,8.73,C
283,0,2,male,47.2,0,0,35.27,S
284,0,1,male,,0,2,130.81,C
285,0,3,male,,1,0,4.78,S
286,1,1,female,21.9,0,1,205.88,S
287,0,3,male,,0,1,39.7,C
288,0,3,female,,1,0,5.14,C
289,0,2,male,25.7,0,1,8.75,S
290,1,3,female,,1,0,9.16,C
291,1,1,male,,1,0,237.91,S
292,0,1,male,16.1,1,0,175.56,C
293,0,3,female,51.6,1,0,1.41,S
294,0,2,male,24.5,0,0,9.98,S
295,1,1,female,46.0,1,0,67.71,S
296,0,3,female,,0,0,9.09,S
297,0,3,male,43.0,1,0,2.8,S
298,0,1,male,23.0,0,0,164.45,S
299,0,3,female,34.7,0,0,14.69,S
300,0,1,male,28.7,1,1,152.85,S
301,0,1,male,16.3,0,0,164.42,S
302,0,3,male,,1,0,17.94,S
303,0,3,male,12.5,1,0,7.52,S
304,0,3,male,45.6,0,1,12.26,C
305,0,3,female,,1,0,2.27,C
306,1,3,female,31.8,0,0,14.56,C
307,0,3,female,33.0,0,0,2.57,S
308,1,2,female,25.4,1,2,23.68,C
309,0,3,male,37.2,0,0,3.39,S
310,0,2,female,,0,0,2.5,S
311,0,2,male,41.2,0,0,3.61,S
312,1,1,male,,0,0,0.17,C
313,0,1,male,30.8,2,0,106.55,S
314,0,3,male,56.1,0,0,17.14,S
315,0,3,female,,0,0,9.41,S
316,0,3,female,19.5,0,1,2.29,C
317,1,2,male,36.2,1,1,1.75,S
318,0,1,male,31.5,0,0,1.62,S
319,1,1,female,33.9,1,1,15.22,S
320,0,2,male,35.8,1,0,44.3,S
321,0,3,male,,2,0,3.59,S
322,0,3,male,44.5,1,1,5.69,S
323,0,3,female,34.7,0,0,1.45,C
324,1,2,female,25.6,0,1,5.03,S
325,0,3,male,38.4,0,1,9.52,S
326,0,3,male,,0,3,12.17,S
327,0,3,female,27.1,0,1,3.66,S
328,0,3,female,15.4,0,0,0.77,S
329,0,2,male,,0,0,9.92,S
330,0,2,female,27.3,0,0,5.34,S
331,0,2,male,0.5,1,2,4.96,C
332,1,3,male,40.9,0,0,41.8,S
333,1,1,female,,0,0,80.46,S
334,0,1,male,27.7,0,1,68.37,C
335,0,1,male,33.6,1,0,45.15,S
336,0,1,male,31.7,0,0,47.06,C
337,0,3,male,38.9,1,0,10.12,S
338,0,3,female,22.9,0,0,15.5,S
339,0,3,male,36.2,0,1,15.74,C
340,1,1,female,25.4,1,0,15.82,S
341,0,3,male,39.3,0,0,9.01,S
342,0,3,male,37.6,0,0,6.9,C
343,0,1,male,15.9,0,1,171.72,S
344,1,2,female,44.2,0,0,19.96,S
345,0,2,male,,0,0,15.21,S
346,1,3,female,40.3,0,1,1.59,C
347,1,3,male,34.1,2,1,12.1,Q
348,0,1,female,54.7,1,0,10.47,S
349,0,2,male,25.9,0,0,8.23,S
350,0,3,female,,1,0,2.0,C
351,1,3,female,28.7,1,0,15.31,S
352,0,3,female,24.8,1,0,3.0,S
353,0,3,female,40.2,2,2,6.47,S
354,1,1,female,6.4,1,0,189.86,C
355,0,1,male,14.2,0,0,19.2,C
356,0,3,male,,0,1,9.22,S
357,0,1,male,42.3,0,0,45.65,S
358,0,3,female,,2,0,0.24,S
359,0,3,male,27.5,2,2,20.46,S
360,1,3,female,26.6,1,0,0.93,S
361,0,2,male,30.0,1,0,12.86,C
362,0,3,male,45.3,0,0,10.69,S
363,0,3,male,,0,2,12.87,C
364,1,3,female,32.3,1,0,15.17,S
365,0,3,male,42.7,0,1,3.8,S
366,0,2,male,36.0,0,0,0.2,S
367,0,3,male,31.7,1,0,16.71,S
368,0,3,male,43.0,0,0,9.97,S
369,1,1,male,,0,1,151.92,Q
370,0,1,male,38.5,0,0,144.69,C
371,1,1,female,19.8,2,0,155.7,S
372,1,1,male,3.4,0,0,55.76,S
373,0,1,male,36.2,1,0,34.1,Q
374,0,3,male,,1,0,20.39,S
375,0,1,male,27.1,1,1,50.42,S
376,0,2,male,42.3,0,0,4.05,S
377,0,3,male,51.6,1,0,25.1,Q
378,0,1,male,47.4,0,1,179.91,S
379,0,3,male,52.0,0,0,8.16,S
380,1,2,female,,1,0,1.57,Q
381,1,1,female,30.1,0,0,41.22,S
382,1,3,female,6.6,0,0,21.15,S
383,0,3,male,25.6,0,1,30.17,S
384,0,3,male,17.2,1,0,2.96,C
385,0,3,male,59.4,0,1,0.9,S
386,0,3,male,,1,0,27.28,Q
387,0,2,female,30.7,0,0,9.87,S
388,1,1,male,36.7,0,0,65.55,S
389,1,3,male,,0,0,44.77,Q
390,0,3,male,52.7,0,1,0.9,S
391,1,3,female,20.3,0,1,13.59,S
392,0,2,male,,0,0,1.54,S
393,0,2,male,,0,0,9.42,S
394,0,3,male,10.5,0,1,21.17,S
395,0,2,male,20.4,0,0,11.36,S
396,0,3,male,,0,1,76.33,S
397,0,3,male,23.0,1,1,10.64,C
398,0,2,male,19.3,0,1,7.75,S
399,0,3,male,9.3,0,0,3.23,Q
400,0,3,male,27.8,0,0,5.61,S
401,1,1,male,7.9,0,0,39.15,S
402,0,3,male,39.6,0,1,0.93,S
403,0,3,female,30.2,1,0,6.0,S
404,0,3,female,8.6,1,0,8.11,S
405,0,2,male,,0,1,25.66,C
406,0,3,male,18.5,0,0,13.9,C
407,0,2,male,,0,0,24.67,Q
408,0,1,male,47.8,0,1,0.71,S
409,0,3,female,2.7,1,0,3.19,C
410,1,1,male,30.6,2,1,91.04,S
411,1,2,female,26.8,0,1,13.23,S
412,0,3,male,38.4,0,0,0.07,C
413,0,3,male,32.0,0,0,21.22,S
414,1,3,female,,0,0,19.27,S
415,1,3,female,24.5,0,1,10.34,S
416,1,2,female,17.9,0,1,1.38,S
417,0,2,female,44.1,0,0,29.09,C
418,0,2,male,29.3,3,0,17.53,S
419,0,3,female,55.6,0,1,19.8,Q
420,0,3,male,28.2,0,0,18.11,S
421,0,3,female,19.1,0,0,21.12,S
422,0,3,male,7.8,0,0,9.49,S
423,1,1,female,3.8,1,0,12.7,S
424,0,3,male,6.8,0,1,14.46,S
425,0,1,male,32.7,0,1,81.38,C
426,0,3,male,36.1,0,0,17.63,C
427,0,2,female,,0,1,3.72,Q
428,0,3,male,,0,1,2.82,C
429,1,2,male,22.2,0,1,44.22,C
430,0,1,male,31.1,0,0,116.44,S
431,0,1,male,,1,0,200.63,C
432,0,3,female,41.6,1,0,18.48,S
433,0,3,male,,0,0,11.82,S
434,1,1,female,,0,0,89.18,S
435,0,1,male,0.5,0,0,184.75,S
436,0,3,male,,0,0,11.24,S
437,1,1,female,26.0,1,1,84.06,Q
438,1,3,female,15.2,0,0,2.21,S
439,0,3,male,27.2,0,0,8.35,S
440,1,1,male,30.1,1,0,105.86,S
441,0,1,female,,0,0,26.54,S
442,0,3,male,19.9,0,0,2.94,S
443,1,2,female,31.4,2,2,7.53,S
444,0,2,female,,2,0,5.53,S
445,0,3,female,13.7,0,0,3.15,S
446,0,3,male,48.8,0,1,7.19,C
447,0,3,female,27.6,1,0,30.99,C
448,0,3,male,29.3,1,0,9.2,S
449,0,2,male,38.9,1,0,4.16,S
450,0,1,male,,0,0,6.73,S
451,0,3,male,,2,1,15.49,C
452,0,3,female,,0,2,6.27,S
453,1,2,female,,1,1,34.5,S
454,1,3,female,34.1,0,2,14.01,C
455,1,1,male,13.0,0,0,133.63,S
456,0,3,male,30.5,0,1,4.13,S
457,0,1,male,28.5,0,2,99.02,S
458,0,3,female,26.1,1,0,3.99,Q
459,0,1,male,27.2,1,0,235.03,C
460,1,1,female,2.7,0,0,84.98,S
461,0,1,male,21.3,0,0,32.95,S
462,0,3,male,30.3,4,3,4.08,S
463,0,3,female,,0,1,2.75,Q
464,0,3,male,14.6,1,0,15.42,Q
465,0,3,female,,0,0,3.21,S
466,1,2,female,16.9,0,0,18.09,C
467,0,2,male,,0,1,6.15,S
468,0,3,male,35.0,0,1,14.1,S
469,0,1,male,20.0,0,1,141.71,S
470,0,3,female,,0,0,19.57,S
471,0,1,male,12.3,0,0,120.18,Q
472,1,3,male,41.9,0,0,2.7,S
473,0,1,male,43.0,0,1,7.77,S
474,0,3,female,19.6,1,0,15.61,Q
475,0,3,male,48.5,0,0,5.97,C
476,1,3,female,,1,0,7.36,S
477,1,1,female,,0,0,2.66,S
478,0,3,male,,1,0,3.91,S
479,0,3,male,,1,1,0.45,S
480,0,3,female,40.4,1,2,27.48,Q
481,0,3,male,40.1,0,0,3.63,Q
482,1,3,female,4.5,0,0,10.59,S
483,0,3,male,47.3,0,2,0.52,S
484,0,3,male,5.7,0,1,14.29,S
485,0,3,female,43.5,0,2,5.07,C
486,0,3,male,44.8,0,0,29.67,S
487,1,1,male,13.7,0,0,183.99,S
488,0,2,male,23.2,0,0,7.87,S
489,0,3,male,13.5,0,1,30.06,S
490,0,3,male,26.0,1,0,72.3,S
491,0,3,male,24.7,0,0,22.69,S
492,0,3,female,39.9,1,1,24.23,Q
493,0,2,male,47.3,0,0,5.73,C
494,1,1,female,48.5,0,0,72.21,C
495,0,3,male,21.1,1,2,0.91,S
496,1,2,female,,0,0,1.99,S
497,0,3,male,5.4,0,0,88.47,S
498,1,1,female,17.7,1,0,33.22,S
499,0,3,male,42.5,0,0,17.93,C
500,0,3,male,51.6,1,1,21.36,S
501,0,3,male,11.7,1,1,25.38,S
502,0,3,male,20.7,1,1,78.57,C
503,0,2,male,,2,0,5.53,Q
504,0,3,male,,0,0,0.54,S
505,0,3,female,,0,0,6.89,S
506,0,1,male,34.9,0,0,11.71,S
507,0,3,male,,0,0,0.29,S
508,0,3,male,28.8,0,0,5.81,S
509,1,3,female,36.6,0,1,19.91,S
510,0,3,male,,0,1,10.86,Q
511,0,3,male,22.9,0,1,4.88,S
512,0,2,male,27.5,1,1,21.25,S
513,0,3,female,27.8,0,0,3.43,S
514,0,3,female,23.8,0,0,0.19,S
515,0,1,male,25.4,0,0,121.42,C
516,1,1,female,,0,0,82.11,S
517,1,2,female,,0,0,28.74,S
518,0,3,male,24.9,0,0,0.52,S
519,0,3,female,,1,1,23.59,C
520,0,1,male,24.3,1,0,81.17,S
521,0,3,male,45.4,2,1,10.77,C
522,0,2,male,34.2,0,0,19.6,S
523,0,3,male,27.5,1,0,25.98,S
524,0,3,male,35.3,0,3,11.49,S
525,1,3,female,7.0,1,1,11.31,Q
526,0,3,male,13.2,3,0,60.78,Q
527,0,2,male,12.3,1,0,28.27,S
528,0,2,male,31.0,0,0,11.68,S
529,1,1,female,53.3,1,0,103.23,S
530,0,3,male,60.2,0,0,6.41,S
531,1,3,male,37.9,0,0,3.38,S
532,0,3,male,36.0,1,0,11.81,C
533,1,3,male,3.8,1,1,34.24,Q
534,0,3,female,,1,1,34.41,S
535,0,3,female,18.0,0,1,5.44,S
536,0,3,male,,0,0,9.75,C
537,0,3,female,26.6,0,0,3.09,C
538,1,2,male,22.4,2,0,108.66,S
539,1,3,female,1.3,0,1,51.6,S
540,0,1,male,39.5,1,0,88.07,S
541,0,3,male,14.0,2,1,21.21,S
542,0,3,male,32.3,0,0,16.32,S
543,1,1,female,58.0,1,0,75.54,S
544,0,3,male,,0,0,0.71,S
545,1,3,male,0.5,0,0,7.88,S
546,0,2,male,25.0,0,0,22.47,S
547,1,1,female,44.4,0,1,95.07,S
548,0,3,male,56.4,0,0,6.07,C
549,1,3,female,,1,0,36.95,C
550,1,3,female,36.0,0,2,2.38,S
551,0,3,male,22.5,0,1,9.02,S
552,0,3,female,27.5,0,0,15.26,Q
553,0,3,male,66.0,0,0,15.53,S
554,1,3,female,8.0,2,0,13.6,S
555,0,3,male,32.6,2,0,4.19,S
556,0,2,female,35.5,0,1,3.4,S
557,0,1,female,44.2,1,1,84.88,S
558,1,1,female,30.4,0,0,76.82,Q
559,1,3,female,33.3,0,0,2.57,S
560,0,3,male,23.5,0,0,15.88,S
561,0,3,male,32.8,0,0,7.89,Q
562,1,1,female,24.2,0,0,92.56,S
563,0,1,male,37.7,0,0,152.57,S
564,1,1,male,,2,0,15.62,S
565,1,2,female,34.3,2,1,0.39,S
566,1,3,female,28.6,0,0,19.63,S
567,0,2,female,,2,0,18.82,S
568,0,2,male,28.3,0,1,24.06,S
569,0,3,female,4.2,0,0,23.67,S
570,0,2,male,46.7,1,0,32.47,S
571,1,3,female,16.3,0,0,42.15,S
572,0,3,male,19.8,0,1,9.98,S
573,0,2,female,20.7,2,0,13.41,S
574,0,3,female,48.2,1,0,6.68,S
575,0,3,male,0.5,1,0,2.17,Q
576,0,3,female,72.9,2,1,11.05,S
577,0,1,male,43.8,1,0,27.25,S
578,0,3,female,32.1,1,0,33.05,C
579,1,3,female,,1,1,11.38,S
580,0,2,male,33.0,1,1,17.97,S
581,0,3,female,36.3,0,1,5.7,C
582,1,3,female,38.0,1,0,0.69,C
583,0,3,male,36.8,1,0,0.42,S
584,0,2,male,30.3,0,1,11.01,S
585,0,3,female,26.2,1,1,1.15,S
586,1,2,female,26.9,0,0,18.67,C
587,1,1,female,,1,0,178.79,S
588,1,1,female,44.9,0,0,180.17,S
589,0,1,male,37.3,0,0,90.38,C
590,1,1,female,0.5,2,0,19.93,S
591,0,1,male,38.2,0,0,166.97,C
592,0,3,male,,1,2,28.24,S
593,0,1,male,28.7,1,0,18.39,S
594,0,2,male,23.6,2,0,26.74,S
595,0,3,male,44.7,0,1,4.39,C
596,0,3,male,42.3,1,0,21.1,S
597,1,3,female,18.2,2,0,76.59,S
598,1,1,male,34.7,0,1,2.56,S
599,1,1,male,15.4,0,0,191.23,S
600,1,1,male,9.7,1,0,81.86,Q
601,0,1,male,20.2,1,0,304.6,S
602,0,2,male,,0,0,12.51,S
603,0,1,male,,0,1,157.91,Q
604,0,1,male,36.2,0,0,5.41,S
605,1,1,female,39.2,1,1,34.3,S
606,0,3,male,,0,1,0.9,S
607,1,1,male,20.0,0,2,311.03,C
608,0,2,male,35.0,0,2,33.96,S
609,1,3,female,40.2,0,0,24.89,S
610,0,3,male,39.6,1,2,36.14,S
611,0,1,male,45.6,0,1,7.47,S
612,1,3,male,38.9,0,0,6.33,S
613,0,3,male,33.9,1,0,0.96,S
614,0,1,male,44.0,0,0,19.89,S
615,0,3,male,28.6,1,0,3.39,S
616,0,3,male,16.7,0,0,8.23,S
617,0,1,male,26.7,0,1,26.27,C
618,0,2,male,18.6,1,0,2.13,C
619,1,3,female,,1,0,2.38,C
620,0,3,female,27.0,0,0,2.07,S
621,1,1,female,17.9,0,1,303.64,S
622,0,1,female,24.7,0,1,119.63,S
623,0,2,male,2.5,1,0,68.69,Q
624,0,3,male,32.0,0,0,7.53,C
625,0,3,male,29.0,0,0,4.24,C
626,0,2,male,17.6,1,0,32.02,S
627,0,3,female,38.2,1,1,5.13,S
628,0,3,male,,0,1,4.63,S
629,1,1,female,,0,0,22.23,S
630,1,2,male,,0,0,2.78,S
631,1,3,female,18.2,0,0,3.85,Q
632,0,3,male,15.8,0,1,5.71,S
633,0,3,male,40.6,2,0,14.57,S
634,0,3,male,26.3,0,1,0.84,S
635,0,1,male,25.3,0,0,19.85,Q
636,0,2,male,0.9,0,0,33.11,S
637,0,3,male,37.9,2,0,2.07,S
638,1,2,female,11.7,0,1,8.39,Q
639,0,2,male,,0,1,40.0,S
640,0,2,male,32.9,0,0,3.37,S
641,0,1,male,48.0,0,1,7.25,S
642,0,2,female,10.7,1,0,13.25,S
643,0,1,male,0.5,0,0,30.25,C
644,0,2,male,,0,0,16.58,C
645,0,1,male,,1,0,136.81,S
646,0,3,male,46.3,0,2,1.92,S
647,0,3,female,31.9,0,0,11.3,S
648,0,3,male,,0,0,9.15,S
